property_type,society,sector,price,pricePerSqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,others,store room,pooja room,servant room,furnishing_type,luxury_score,area_per_bedroom
flat,maa bhagwati residency,sector 7,0.45,5000.0,2,2,1,4.0,Relatively New,1000.0,0,0,0,0,0,0,28,450.0
flat,apna enclave,sector 3,0.5,7692.0,2,2,1,1.0,Old Property,722.0,0,0,0,0,0,1,30,325.0
flat,tulsiani easy in homes,sector 33,0.4,6723.0,2,2,3,12.0,New Property,661.0,0,0,0,0,0,0,57,297.5
flat,smart world orchard,sector 61,1.47,12250.0,2,2,2,2.0,Under Construction,1333.0,1,0,0,0,0,0,88,600.0
flat,parkwood westend,sector 92,0.7,5204.0,2,2,3,5.0,Under Construction,1217.0,1,0,0,0,0,0,0,672.5
flat,signature global infinity mall,sector 36,0.41,6269.0,2,2,3,3.0,New Property,654.0,0,0,0,0,0,0,0,327.0
flat,the cocoon,sector 109,2.0,13333.0,3,3,3,5.0,New Property,1357.0,0,0,0,0,0,0,0,500.0
flat,ats triumph,sector 104,1.8,7860.0,3,4,3,14.0,New Property,2544.0,0,0,0,0,0,0,84,763.3333333333334
flat,vatika xpressions,sector 88b,1.1,8148.0,2,4,3+,2.0,Under Construction,1350.0,1,0,0,0,0,0,69,675.0
flat,raheja revanta,sector 78,4.75,16886.0,3,3,2,31.0,Under Construction,2813.0,0,0,0,0,1,0,99,937.6666666666666
flat,signature global city 81,sector 81,0.96,9766.0,2,2,2,1.0,Under Construction,1194.0,0,0,0,0,0,0,46,491.5
flat,hcbs sports ville,sector 33,0.29,5588.0,2,2,1,4.0,Relatively New,577.0,0,0,0,0,0,0,42,259.5
flat,supertech araville,sector 79,1.35,6941.0,3,3,3,4.0,Relatively New,2161.0,0,0,0,0,0,0,0,648.3333333333334
flat,godrej,sector 33,0.95,6859.0,2,2,3+,3.0,Under Construction,1253.0,0,0,0,0,0,0,0,692.5
flat,shree vardhman flora,sector 90,0.7,5385.0,2,2,3,13.0,New Property,1176.0,1,0,0,0,0,0,18,650.0
flat,sobha city,sector 108,3.95,16859.0,4,5,3,25.0,Relatively New,2343.0,0,0,0,0,0,0,71,585.75
flat,senate court,sector 62,0.9,14085.0,1,1,0,0.0,New Property,639.0,0,0,0,0,0,0,0,639.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,2,2,2,0.0,Under Construction,1017.0,0,0,0,0,0,0,46,457.5
flat,central park flower valley,sector 33,2.2,10476.0,3,3,3,12.0,New Property,1900.0,0,0,0,0,1,1,46,700.0
flat,smart world gems,sector 89,1.01,9157.0,2,2,2,4.0,Under Construction,1226.0,1,0,0,0,0,0,55,551.5
flat,bestech altura,sector 79,1.85,8605.0,3,4,3+,11.0,New Property,1946.0,0,0,0,0,1,1,46,716.6666666666666
flat,smart world gems,sector 89,0.86,7797.0,2,3,3,4.0,Under Construction,998.0,0,0,0,0,0,0,63,551.5
flat,emaar imperial gardens,sector 102,1.85,9136.0,3,3,3+,0.0,Relatively New,2250.0,0,0,0,0,1,1,108,675.0
flat,la vida by tata housing,sector 113,2.85,12855.0,3,3,3+,10.0,New Property,2006.0,0,0,0,0,1,0,79,739.0
flat,the serenas,sector 36,0.42,7910.0,2,2,1,3.0,New Property,590.0,0,0,0,0,0,0,0,265.5
flat,central park resort belgravia residences,sector 48,6.25,24300.0,3,5,3+,5.0,Moderately Old,3200.0,0,0,0,0,1,5,46,857.3333333333334
flat,apex builders,sector 37c,0.42,5600.0,2,2,2,4.0,Relatively New,833.0,0,0,0,0,0,0,40,375.0
flat,godrej habitat,sector 3,1.35,12784.0,2,2,0,4.0,Old Property,1056.0,0,0,0,0,0,0,58,528.0
flat,bhawna cghs,sector 43,3.25,10156.0,4,4,3+,12.0,Moderately Old,3115.0,0,0,0,1,0,1,131,800.0
flat,adani aangan arcade,sector 88a,0.45,7188.0,2,2,1,8.0,New Property,695.0,0,0,0,0,0,0,18,313.0
flat,sare green parc,sector 92,0.85,6538.0,3,2,2,20.0,Relatively New,1300.0,0,0,0,0,0,0,0,433.3333333333333
flat,shree vardhman flora,sector 90,0.75,5769.0,2,2,3,8.0,Relatively New,1444.0,0,0,0,0,0,0,73,650.0
flat,supertech hues,sector 68,0.82,6949.0,2,2,3+,21.0,Under Construction,1068.0,0,1,0,0,0,0,91,590.0
flat,chintels paradiso,sector 109,1.8,8867.0,3,3,2,0.0,Moderately Old,1910.0,0,0,0,0,1,0,90,676.6666666666666
flat,breez global hill view,sector 33,0.3,5405.0,2,2,2,6.0,New Property,605.0,0,0,0,0,0,0,116,277.5
flat,ild greens,sector 37c,0.78,5714.0,2,2,3,1.0,Moderately Old,1068.1,0,0,0,0,0,1,117,682.5
flat,ansal sushant lok ci,sector 43,2.0,15152.0,3,3,2,1.0,Old Property,1467.0,0,0,0,0,1,1,10,440.0
flat,ashiana mulberry,sector 33,0.74,6198.0,2,2,3+,12.0,New Property,1344.0,0,0,0,0,0,0,76,597.0
flat,godrej meridien,sector 106,3.2,16000.0,3,3,3+,6.0,Under Construction,2224.0,0,0,0,0,1,0,46,666.6666666666666
flat,mapsko casa bella,sector 82,1.3,6379.0,4,4,3+,1.0,Relatively New,1774.0,0,0,0,0,1,0,142,509.5
flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,2,2,2,2.0,Relatively New,778.0,0,0,0,0,0,0,0,350.0
flat,signature global park,sector 33,0.95,7845.0,3,2,3+,1.0,Relatively New,1210.723472,0,0,0,0,0,0,57,403.6666666666667
flat,dlf new town heights,sector 90,1.99,7297.0,4,4,3+,9.0,Relatively New,3030.0,0,0,0,1,1,5,119,681.75
flat,paras dews,sector 106,1.05,7581.0,2,2,2,5.0,New Property,1539.0,0,0,0,0,0,0,124,692.5
